perturbagen	down-imputed	down-measured	up-imputed	up-measured
2277	19	45	7	27
2280	5	9	3	6
2287	9	37	8	12
2288	8	12	0	9
2289	8	9	5	8
2295	10	33	5	9
2308	2	6	1	3
2309	55	69	20	42
2313	10	33	5	7
2321	3	8	3	3
2322	23	43	14	29
2324	12	32	5	7
2332	2	4	0	0
2335	3	18	5	10
2348	0	13	1	2
2353	108	89	114	76
2355	40	22	11	19
2356	13	33	10	7
2395	0	0	0	1
2444	0	1	0	1
2475	57	93	68	61
2494	0	18	7	1
2495	3	5	0	4
2512	11	16	4	13
2521	16	26	9	20
2523	33	47	16	20
2524	2	7	0	2
2534	5	23	1	0
2535	2	13	5	8
2538	5	32	3	19
2539	10	41	12	21
2542	2	14	4	7
2547	13	12	5	11
2548	53	68	50	42
2550	10	24	3	14
2553	10	25	7	15
2554	2	5	2	2
2558	0	3	2	3
2562	2	2	2	3
2565	2	6	5	5
2568	2	4	3	6
2580	2	4	0	1
2581	17	38	18	24
2582	41	39	68	36
2583	7	16	1	8
2584	0	4	1	1
2585	1	1	1	0
2588	5	29	2	12
2589	9	13	2	5
2592	4	10	7	5
2593	13	30	10	4
2597	10	24	5	7
2615	6	12	2	4
2617	3	11	3	5
2618	2	17	5	24
2621	1	9	1	4
2623	66	74	32	45
2624	8	26	6	17
2625	52	81	12	40
2627	6	46	7	27
2629	4	4	4	6
2634	69	68	52	93
2639	1	10	5	5
2643	2	20	1	3
2645	1	14	1	3
2646	2	0	0	1
2647	3	19	3	6
2664	15	36	9	25
2673	23	23	10	13
2674	10	16	8	17
2677	4	23	0	4
2678	11	33	10	6
2683	56	63	47	39
2690	3	7	0	0
2697	1	6	2	3
2710	5	5	3	2
2712	1	1	0	0
2717	7	21	9	8
2729	7	28	6	6
2730	3	11	3	6
2731	5	17	1	9
2735	31	63	37	19
2737	29	51	4	23
2744	5	22	1	1
2745	13	35	4	15
2746	8	17	1	6
2747	2	2	3	4
2752	4	18	3	6
2760	31	61	19	21
2762	93	82	77	44
2767	69	69	62	24
2768	13	23	6	9
2769	1	8	4	2
2770	11	32	9	9
2771	80	75	73	37
2773	4	20	2	7
2774	1	12	1	1
2776	1	10	4	3
2778	164	50	177	74
2781	0	9	3	12
2782	4	28	5	17
2783	7	15	1	7
2786	1	27	4	11
2787	26	37	9	14
2793	3	10	3	3
2805	2	13	1	6
2806	3	12	7	4
2810	23	53	13	30
2817	3	33	10	15
2821	7	23	1	13
2828	11	8	5	7
2831	7	37	7	19
2834	8	20	7	2
2837	0	11	1	3
2842	4	17	3	5
2849	16	46	13	23
2852	90	71	25	20
2853	6	18	2	4
2857	2	2	1	5
2859	4	15	3	3
2861	10	25	19	26
2863	9	31	2	11
2864	10	31	7	12
2868	1	5	0	1
2869	15	25	10	12
2870	1	9	0	9
2872	0	8	1	6
2876	6	17	8	6
2877	6	18	2	12
2878	2	15	4	11
2879	15	31	3	26
2882	5	12	3	8
2885	16	46	14	23
2886	9	19	3	3
2887	8	10	2	5
2896	30	26	28	17
2908	114	95	78	102
2909	60	80	26	58
2919	60	59	33	34
2920	2	4	0	2
2925	3	11	5	1
2931	43	73	34	68
2932	18	48	10	19
2936	1	13	4	4
2937	8	16	3	8
2944	1	8	3	4
2946	42	53	25	36
2950	4	13	2	8
2952	2	11	1	2
2954	43	47	46	36
2956	68	66	61	22
2957	8	24	2	27
2958	11	12	1	1
2959	1	2	0	1
2961	83	52	54	34
2963	11	12	4	3
2965	0	2	1	1
2966	11	48	10	13
2967	1	16	3	5
2969	7	28	1	4
2976	2	8	3	5
2984	1	0	2	0
2986	0	1	0	0
2987	15	35	8	14
2990	6	15	0	4
2992	29	56	10	28
2997	10	8	3	7
3000	39	28	4	8
3006	1	2	0	2
3008	5	18	1	13
3009	3	16	3	7
3014	1	4	3	1
3017	4	18	5	6
3028	37	27	28	15
3029	9	13	5	5
3030	3	10	4	5
3032	4	8	0	2
3033	38	46	31	24
3034	57	61	16	31
3035	4	11	5	4
3046	1	16	1	3
3053	1	17	1	5
3054	4	15	4	2
3055	1	3	0	0
3065	30	38	22	31
3066	76	49	70	35
3074	18	42	10	36
3077	5	15	3	14
3084	7	36	3	9
3087	17	43	7	13
3091	5	19	2	7
3093	3	7	0	6
