perturbagen	down-imputed	down-measured	up-imputed	up-measured
2868	0	2	0	1
2870	0	2	1	1
2882	1	1	0	0
2896	1	0	0	1
2908	1	5	0	1
2919	1	9	0	9
2925	4	9	0	2
2944	3	2	0	0
2946	2	3	1	3
2950	0	4	1	6
2954	0	3	0	4
2958	1	5	0	3
2959	0	2	0	1
2962	0	0	0	1
2987	108	78	119	60
2990	0	0	0	1
3010	0	0	1	0
3028	0	0	0	2
3034	0	2	2	1
3046	0	3	0	2
3053	1	1	0	1
3055	0	5	0	23
3084	0	0	2	1
3091	1	8	0	8
3093	1	1	0	1
3094	0	2	0	8
3104	0	1	1	2
3105	0	5	0	3
3122	0	1	2	1
3123	0	0	0	7
3125	1	0	0	0
3131	2	14	3	16
3142	0	0	0	1
3148	0	1	1	3
3149	1	1	0	0
3155	0	0	0	2
3156	3	4	1	5
3159	0	0	0	2
3161	0	1	1	0
3162	0	4	0	10
3163	0	0	0	2
3164	12	42	8	58
3171	4	38	11	31
3172	245	139	379	127
3176	0	1	0	0
3198	0	0	0	2
3199	1	2	2	7
3202	0	3	0	4
3203	1	2	0	0
3205	0	23	5	17
3215	0	0	0	3
3217	0	0	0	1
3221	0	3	0	2
3225	1	11	12	8
3226	0	0	0	3
3227	12	48	20	44
3235	2	24	0	27
3242	1	2	0	1
3249	0	0	0	3
3251	0	3	0	1
3265	1	2	0	3
3269	2	4	0	2
3294	2	0	1	1
3295	1	3	0	3
3297	70	75	123	87
3298	0	5	0	2
3300	1	0	0	1
3306	0	0	0	8
3312	0	0	1	2
3313	0	1	0	3
3320	1	5	0	7
3326	1	0	0	0
3329	1	0	1	0
3344	0	1	0	1
3358	1	9	0	15
3364	0	1	0	2
3373	0	4	0	2
3383	0	0	0	2
3385	4	5	2	6
3398	2	2	0	2
3416	0	0	0	1
3419	0	0	0	2
3420	0	1	1	1
3421	1	1	0	1
3428	0	0	0	3
3431	0	1	0	0
3446	1	14	72	19
3456	72	100	113	60
3458	39	104	118	66
3459	0	1	0	2
3480	0	1	0	0
3481	2	1	0	7
3487	1	18	4	36
3488	3	21	0	6
3489	0	0	2	0
3490	0	4	0	0
3494	1	4	37	25
3508	0	0	0	2
3551	0	0	0	2
3553	0	1	0	2
3554	0	0	1	9
3556	1	3	0	2
3558	0	1	0	0
3560	1	25	2	34
3565	0	1	0	1
3570	1	1	1	0
3579	0	0	0	2
3586	0	3	0	3
3592	1	0	0	5
3596	3	3	1	5
3597	3	29	1	13
3598	2	0	0	3
3600	0	1	0	0
3611	0	3	0	5
3612	0	3	1	0
3614	0	5	0	0
3622	2	0	0	1
3628	0	2	0	1
3638	1	2	0	2
3643	1	0	2	10
3656	1	1	1	4
3658	0	1	0	2
3660	4	26	17	41
3661	1	0	0	0
3662	0	0	1	1
3663	1	15	0	6
3664	0	0	0	1
3669	0	0	0	1
3682	0	2	2	9
3689	0	1	1	1
3702	0	0	0	1
3717	1	1	1	4
3726	4	9	0	18
3735	0	1	0	0
3738	0	0	0	1
3742	0	2	0	1
3746	0	8	2	10
3767	1	1	0	2
3775	0	2	1	0
3776	1	1	0	0
3784	0	0	0	1
3788	6	44	2	25
3827	0	11	0	6
3846	0	1	0	0
3932	0	5	0	22
3934	2	0	2	3
3939	0	4	0	1
3956	0	1	0	4
3957	0	1	0	3
3964	3	4	1	5
3978	26	47	24	48
3980	0	0	0	1
3985	0	0	0	1
3988	0	1	0	2
3995	0	1	0	1
4000	1	1	0	1
4023	0	1	1	1
4046	0	2	1	0
4047	2	3	0	2
4055	101	138	76	107
4067	1	3	2	17
4069	2	7	1	13
4074	0	0	1	0
4084	0	1	0	2
4086	0	1	0	2
4087	1	4	2	1
4088	1	1	0	2
4090	1	21	0	7
4092	2	2	1	1
4097	0	1	1	2
4108	13	51	22	50
4109	0	2	1	2
4128	1	1	0	4
4129	3	6	4	8
4139	0	6	0	3
4142	1	4	4	17
4143	1	19	1	16
4144	0	1	1	0
4151	1	1	0	2
