perturbagen	down-imputed	down-measured	up-imputed	up-measured
BRD-A44448661	2	10	0	5
BRD-A44551378	1	10	0	3
BRD-A44701612	15	34	3	27
BRD-A44780397	4	24	1	16
BRD-A44827100	0	2	0	1
BRD-A44862234	1	3	0	7
BRD-A44863528	2	18	0	4
BRD-A45140972	0	1	0	1
BRD-A45333398	476	196	524	181
BRD-A45498368	501	240	499	206
BRD-A45499626	0	0	1	1
BRD-A45543382	5	12	1	4
BRD-A45657137	1	1	0	0
BRD-A45664787	0	0	2	3
BRD-A45889380	577	180	423	215
BRD-A46179541	0	5	1	8
BRD-A46186775	1	9	0	11
BRD-A46393198	0	4	0	2
BRD-A46747628	394	189	377	143
BRD-A46802340	1	0	0	0
BRD-A47144777	2	1	0	4
BRD-A47268303	5	17	3	3
BRD-A47342814	1	0	0	0
BRD-A47441220	0	4	3	2
BRD-A47494775	1	5	0	1
BRD-A47513740	491	207	408	168
BRD-A47564106	1	0	1	0
BRD-A47598013	1	6	1	1
BRD-A47633927	1	2	0	2
BRD-A47706533	1	1	0	1
BRD-A47714657	0	5	0	0
BRD-A47816767	177	119	105	81
BRD-A47829399	15	75	37	59
BRD-A47832959	2	10	1	7
BRD-A47884604	4	6	3	11
BRD-A48052484	1	1	0	1
BRD-A48237631	449	198	551	191
BRD-A48257147	0	1	0	2
BRD-A48349196	1	8	0	3
BRD-A48430263	0	1	0	5
BRD-A48570745	18	44	24	34
BRD-A48631911	0	3	0	3
BRD-A48720949	0	2	0	1
BRD-A48809242	0	0	0	1
BRD-A49035384	0	3	0	2
BRD-A49046702	1	1	0	2
BRD-A49148672	1	2	0	5
BRD-A49160188	0	11	0	9
BRD-A49172652	0	9	0	2
BRD-A49225603	0	7	7	20
BRD-A49358627	0	1	0	0
BRD-A49370193	0	1	0	1
BRD-A49447682	2	23	2	14
BRD-A49581300	3	2	0	0
BRD-A49680073	502	229	498	173
BRD-A49734948	0	3	0	0
BRD-A49765801	1	12	3	14
BRD-A49848186	54	74	51	79
BRD-A49906757	1	1	0	2
BRD-A50157456	0	0	0	1
BRD-A50287119	1	3	3	4
BRD-A50310035	1	0	1	1
BRD-A50311610	1	2	1	3
BRD-A50364343	13	7	5	18
BRD-A50388635	5	17	6	20
BRD-A50454580	6	17	2	12
BRD-A50684349	1	0	0	2
BRD-A50737080	237	157	265	121
BRD-A50764878	0	1	0	2
BRD-A50774520	14	74	31	70
BRD-A50796384	40	61	37	65
BRD-A50928468	1	18	1	2
BRD-A51182606	6	8	4	13
BRD-A51294525	0	1	0	0
BRD-A51382177	0	0	0	1
BRD-A51393488	0	1	1	5
BRD-A51410489	2	2	0	0
BRD-A51666293	0	4	0	3
BRD-A51696495	2	8	1	7
BRD-A51777634	215	139	138	85
BRD-A51820102	0	2	0	3
BRD-A51829654	0	0	0	1
BRD-A51929314	3	28	2	16
BRD-A51964809	0	2	0	1
BRD-A52172093	0	0	0	1
BRD-A52193669	102	83	123	78
BRD-A52282606	0	0	0	8
BRD-A52326238	0	0	0	2
BRD-A52530684	531	321	469	397
BRD-A52530852	1	7	2	6
BRD-A52588987	0	1	0	0
BRD-A52627843	131	122	205	110
BRD-A52647795	1	2	1	1
BRD-A52650764	568	279	432	198
BRD-A52660433	25	77	26	54
BRD-A52771319	1	0	1	0
BRD-A52805806	0	1	0	1
BRD-A52886023	2	7	2	2
BRD-A52933579	9	4	2	6
BRD-A52934756	0	0	1	3
BRD-A52997285	0	1	1	0
BRD-A53077924	1	1	2	4
BRD-A53107311	0	6	1	6
BRD-A53131506	2	1	1	0
BRD-A53576514	0	3	0	0
BRD-A54024781	142	90	146	88
BRD-A54029483	0	2	0	2
BRD-A54077041	2	2	0	0
BRD-A54194844	2	8	0	6
BRD-A54236247	0	1	0	0
BRD-A54487287	0	2	0	1
BRD-A54490543	0	1	0	3
BRD-A54596827	0	2	0	1
BRD-A54632525	0	11	0	17
BRD-A54635441	0	4	1	8
BRD-A54845972	0	3	0	1
BRD-A54880345	0	3	1	0
BRD-A54927599	8	48	10	45
BRD-A55142378	1	2	1	0
BRD-A55317422	10	21	9	12
BRD-A55369275	1	1	0	3
BRD-A55393291	0	7	2	6
BRD-A55416093	1	11	0	7
BRD-A55424491	3	12	0	5
BRD-A55469827	1	1	1	1
BRD-A55484088	455	237	545	177
BRD-A55554369	0	5	0	1
BRD-A55565369	0	0	0	1
BRD-A55594068	68	100	69	73
BRD-A55609290	0	0	0	5
BRD-A55756846	0	23	2	8
BRD-A55815733	0	1	0	0
BRD-A55913614	0	2	0	0
BRD-A55946879	0	5	1	2
BRD-A55962179	0	2	0	1
BRD-A56001686	2	0	1	0
BRD-A56012032	3	1	2	2
BRD-A56020723	2	31	18	38
BRD-A56245458	0	0	0	2
BRD-A56359832	0	5	0	2
BRD-A56470328	0	2	0	1
BRD-A56518012	194	111	111	83
BRD-A56592690	218	122	192	100
BRD-A56798952	32	24	11	28
BRD-A56831909	0	1	0	0
BRD-A56892734	0	4	0	0
BRD-A56987319	0	1	1	1
BRD-A57089740	8	33	8	16
BRD-A57107094	1	4	1	1
BRD-A57133233	0	0	0	2
BRD-A57152259	1	0	4	0
BRD-A57300602	3	6	2	11
BRD-A57382968	0	9	0	5
BRD-A57457122	0	2	0	4
BRD-A57905915	7	3	4	4
BRD-A57957888	1	9	1	5
BRD-A58048407	0	0	1	0
